model_run_id,k_fit,k_eff0,QoI=k_fit/k_eff0,log10_dissolution_rate/FeS,log10_dissolution_rate/pyrite,log10_dissolution_rate/siderite,log10_dissolution_rate/magnetite,log10_dissolution_rate/goethite,log10_dissolution_rate/SOM,log10_equilibrium_constant/FeS,log10_equilibrium_constant/goethite,log10_equilibrium_constant/goethite_dirb,log10_rate_constant/goethite_dirb,log10_rate_constant/abiotic_fe_reduction,log10_rate_constant/sulfate_reduction,sorption_site_density/illite_str,sorption_site_density/illite_w,sorption_site_density/goethite,half_saturation_constant/sulfate,half_saturation_constant/acetate,inhibition_constant/Fe3,logit_initial_mineral_fraction/goethite,logit_initial_mineral_fraction/SOM,logit_initial_mineral_fraction/FeS,logit_initial_mineral_fraction/pyrite,logit_initial_mineral_fraction/siderite,logit_initial_mineral_fraction/illite,log_ssa/FeS,log_ssa/pyrite,log_ssa/siderite,log_ssa/illite,log_tce_intrinsic_rate_constant/FeS,log_tce_intrinsic_rate_constant/pyrite,log_tce_intrinsic_rate_constant/siderite,log_tce_intrinsic_rate_constant/illite,groundwater_concentration/acetate,groundwater_concentration/sulfate,groundwater_concentration/Fe++,initial_concentration/Fe++,initial_concentration/pH,initial_mineral_fraction/goethite,initial_mineral_fraction/SOM,initial_mineral_fraction/FeS,initial_mineral_fraction/pyrite,initial_mineral_fraction/siderite,initial_mineral_fraction/illite,ssa/FeS,ssa/pyrite,ssa/siderite,ssa/illite,log10_tce_intrinsic_rate_constant/FeS,log10_tce_intrinsic_rate_constant/pyrite,log10_tce_intrinsic_rate_constant/siderite,log10_tce_intrinsic_rate_constant/illite,rate_constant/sulfate_reduction,porosity,Variation of normalized volume of FeS,Variation of normalized volume of Pyrite,Variation of normalized volume of Siderite,average_pH,integrated_dirb_rate,integrated_sulfate_reduction_rate,tce_flux_reduction,tce_removal_contributions_FeS,tce_removal_contributions_pyrite,tce_removal_contributions_siderite
4954,0.000163382,8.23E-05,1.985191116,-9.414109577,-19.00556564,-6.674271262,-13,-10.82882387,-10.10876199,-4.654143206,0.789614661,10.04866466,-5.649100804,-6.454196089,0.326869758,1.95E-08,1.19E-06,1.25E-05,0.000232883,0.000105467,2.70E-09,-5.779266759,-3.865440233,-12.28658609,-8.662299634,-6.14986824,-0.63299705,4.732377574,-2.465765185,-1.51303326,-3.336765595,-27.16417487,-24.02679681,-32.63211218,-33.46831613,0.000649839,0.000566917,1.59E-05,1.64E-06,7.486554356,0.003081456,0.02052365,4.61E-06,0.000172956,0.00212922,0.346831277,113.5652514,0.08494382,0.220240916,0.035551761,-11.79725125,-10.43470527,-14.17194625,-14.53510501,2.122607813,0.617206831,618.3647284,49.94876053,141.822283,5.569212252,-737.6667655,29.62564838,0.997414131,0.608028557,0.386931104,0.005040339
4962,0.190021766,0.174217455,1.090716,-8.975556662,-13.83078435,-13.44360648,-13,-10.63771112,-11.28614279,-4.999168717,1.216094932,10.47514493,-8.764377609,-4.568427509,-0.962426153,2.38E-08,1.28E-07,7.04E-07,0.00051208,0.004297231,2.63E-09,-5.44510473,-3.877655742,-7.279197501,-8.571777451,-9.484927206,-0.570040363,6.22858533,-3.20577251,-0.628705116,-3.228476886,-25.51931248,-22.50480578,-34.40983915,-32.11613238,0.000380528,0.004011567,1.18E-05,4.33E-06,7.873797456,0.004298828,0.020279521,0.000689263,0.00018934,7.60E-05,0.361227511,507.0376851,0.040527582,0.533281892,0.039617795,-11.08289659,-9.773712966,-14.94400327,-13.94785907,0.109036988,0.603189537,58.81346081,50.44345146,70.12141734,6.292389213,-836.2901766,26.78828424,0.307364475,0.999523861,0.000476125,1.39E-08
4958,0.011047103,0.010309579,1.071537684,-8.269396229,-19.00639263,-7.571167886,-13,-9.533723263,-8.719891473,-4.717053472,0.388372597,9.647422597,-6.888448764,-5.807601689,-3.214769309,3.52E-09,1.44E-06,1.56E-06,0.000111176,0.000841179,6.42E-10,-5.211657241,-6.432824339,-8.025920865,-7.762806687,-6.48894267,-0.591190053,5.161269474,-1.060311055,-2.02634567,-2.873647688,-26.50232379,-24.36044195,-35.34751315,-33.46586631,0.001065835,0.000410342,8.06E-06,1.19E-05,7.906700063,0.00542306,0.001605322,0.000326772,0.000425081,0.001517848,0.356361848,174.3856933,0.34634806,0.131816342,0.056492483,-11.50981298,-10.57960552,-15.35122991,-14.53404107,0.000609861,0.624290069,50.82234562,49.83431458,83.00786434,7.28451164,-231.235412,0.744991152,0.846971141,0.977310995,0.022688355,6.50E-07
4960,0.042908434,0.042023219,1.021064892,-7.596124449,-18.93584831,-12.1268049,-13,-7.925440488,-11.61834055,-4.514276361,0.887972609,10.14702261,-11.43294031,-5.48107656,-3.891575716,2.29E-09,7.56E-07,2.82E-06,0.008004287,0.000162651,9.27E-11,-6.031559925,-3.946921061,-8.908831963,-7.789939897,-7.947034323,-0.445851979,6.934927261,-1.216077936,-1.757033294,-3.543974335,-26.08443737,-24.47416817,-33.74018567,-34.63649226,0.001254058,0.0005673,2.32E-05,7.40E-06,7.775391467,0.00239599,0.018948112,0.000135171,0.000413707,0.000353585,0.390347447,1027.544507,0.296390352,0.172556028,0.028898247,-11.32832721,-10.62899618,-14.65317645,-15.04243746,0.000128358,0.577355988,49.58011261,50.10812511,53.17662454,5.701121014,-151.2625623,0.048709542,0.592832734,0.995295149,0.004704671,1.80E-07
4985,0.012198017,0.01219857,0.999954652,-11.72526478,-12.32450677,-8.850545973,-13,-8.506722969,-10.08034765,-4.963611125,0.387145384,9.646195384,-6.937755554,-3.640207406,-1.725572348,2.34E-08,1.76E-07,8.23E-07,0.006172063,0.001993331,4.68E-09,-6.222940873,-5.045177457,-8.08281927,-6.277902047,-5.843640567,-0.521711182,4.695308323,-4.452759744,-2.799260874,-0.545806793,-25.84069948,-25.08318413,-30.61946205,-33.65326521,0.001869487,0.001049834,1.53E-05,2.23E-06,7.951065616,0.001979478,0.006399105,0.000308704,0.001873817,0.002889896,0.372452189,109.432544,0.011646382,0.060855026,0.57937416,-11.22247319,-10.89348846,-13.29786341,-14.61542738,0.018811683,0.604046811,47.6119266,50.45727898,95.98003489,6.166184706,-409.5165212,1.900976654,0.834559157,0.998451899,0.001477798,7.03E-05
4989,0.001534716,0.001374429,1.116621208,-7.136587887,-13.08381789,-11.35218092,-13,-7.88281681,-8.883635835,-4.734549331,0.30927883,9.56832883,-9.740828706,-5.750854836,-1.119085456,4.68E-08,3.24E-07,1.39E-06,9.82E-05,0.000435858,3.04E-09,-4.143038307,-4.29908055,-9.333453968,-8.450207988,-7.303895303,-0.424927585,4.956574851,0.198229607,-1.761993329,-4.659149715,-27.32613393,-25.02209759,-32.21635276,-33.47245164,0.000106339,0.004617543,3.65E-05,5.03E-06,7.625331543,0.015626483,0.013399067,8.84E-05,0.00021381,0.00067246,0.395338226,142.1062264,1.219242308,0.171702263,0.009474515,-11.86758918,-10.86695891,-13.99138423,-14.53690104,0.076017668,0.564611554,49.25471236,74.87912328,433.4423976,6.799579759,-1005.35566,31.73100262,0.975746333,0.816717292,0.18286722,0.000415488
4973,0.001301722,0.001084141,1.200695102,-8.106127781,-19.05459816,-16.39228689,-13,-7.051853886,-9.303890447,-5.054341349,0.5128829,9.7719329,-11.76336557,-3.547348131,-3.134391827,3.72E-08,3.35E-07,7.96E-06,0.000484496,2.87E-05,2.62E-10,-4.66037402,-4.391850784,-7.210654519,-6.014229334,-8.258975271,-0.590689284,2.728877248,-2.516987547,0.020729076,-2.274887032,-27.25435673,-25.52090894,-31.24260913,-29.68948055,0.000628214,0.014604887,7.64E-06,3.36E-06,7.863502174,0.009374215,0.012226463,0.000738128,0.002437774,0.000258857,0.356476716,15.31568165,0.080702353,1.020945415,0.102808522,-11.83641674,-11.08358993,-13.56849275,-12.89397758,0.000733851,0.608437847,51.83110219,49.99997041,50.00121109,5.941364459,-276.0911389,6.016313967,0.979499706,0.905712088,0.093962676,0.000325236
4976,0.00086437,0.000843985,1.024153544,-11.90255848,-17.21497639,-10.4214089,-13,-8.863615504,-10.85656408,-4.767525599,0.550907926,9.809957926,-11.10200038,-5.613911263,-3.525835217,5.00E-08,4.59E-07,7.34E-06,0.003742185,6.71E-05,7.48E-10,-6.220148276,-4.249620176,-9.093799494,-8.156455023,-8.67337305,-0.633149251,3.702503374,-3.449330753,-2.191099114,-4.288515506,-26.51134704,-23.11464027,-31.38179363,-32.64289826,0.000454638,0.00260189,9.20E-06,4.43E-05,7.820898618,0.001985002,0.014068895,0.000112348,0.000286795,0.000171052,0.346796798,40.54868593,0.031766889,0.111793807,0.013725285,-11.51373173,-10.03856072,-13.62893981,-14.17663059,0.000297965,0.62652911,47.98197345,50.92584629,224.3976961,5.629705715,-210.0965706,0.626024646,0.985956178,0.937682427,0.062202315,0.000115258
4974,0.006598364,0.006251599,1.055468251,-9.271666574,-12.75571709,-9.146453194,-13,-9.640134167,-10.22831094,-4.985747962,0.300038344,9.559088344,-7.091106098,-6.16464719,0.757301856,3.61E-08,1.48E-07,3.53E-06,0.000173982,0.000132216,5.17E-10,-6.106469744,-4.975626597,-6.858034797,-8.982481263,-7.529734002,-0.376225519,4.912199079,-3.438956464,-2.036481898,-0.957568603,-28.02663294,-23.67954542,-33.47818865,-34.30982342,7.51E-05,0.00066515,1.54E-06,1.21E-05,7.852510505,0.002223449,0.00685685,0.001049874,0.000125575,0.000536593,0.407037578,135.9380245,0.032098163,0.130486971,0.383824983,-12.17181203,-10.28389591,-14.53939259,-14.90056699,5.71875981,0.572120081,50.80204209,54.28298665,324.7273031,6.182392246,-433.2450276,37.10919042,0.902567508,0.997667459,0.002321132,1.14E-05
4975,0.003678847,0.003410649,1.078635491,-7.599302367,-16.75573643,-9.137841217,-13,-6.814025024,-10.72158615,-4.15278957,0.709534122,9.968584122,-7.217199885,-4.95414063,0.438866679,1.38E-08,5.98E-07,1.77E-06,0.000288489,0.001690291,1.58E-09,-5.295688631,-5.595212132,-9.156674292,-9.043850364,-7.303078868,-0.521161226,7.41774276,-4.811061744,-0.098405569,-4.165602556,-28.7536354,-24.35753709,-34.10357678,-34.16738191,0.000274674,0.000284877,3.03E-06,9.88E-06,7.631946083,0.004988155,0.003701856,0.000105502,0.000118101,0.000673009,0.37258074,1665.270347,0.008139213,0.90628127,0.01552036,-12.48754519,-10.57834395,-14.81099521,-14.83870542,2.747050725,0.607782637,60.61053188,50.00932227,177.1419717,7.169868293,-312.2526147,11.13226785,0.943711463,0.999482207,0.000471986,4.58E-05
